[ 1] SKIP  金刚石 -> cifs\01_basic\diamond_C.cif
[ 2] SKIP  石墨 -> cifs\01_basic\graphite_C.cif
[ 3] SKIP  黑磷 -> cifs\01_basic\blackP_P.cif
[ 4] SKIP  C60富勒烯 -> cifs\01_basic\fullerene_C60.cif
[ 5] SKIP  氯化钠 -> cifs\01_basic\rocksalt_NaCl.cif
[ 6] SKIP  氯化铯 -> cifs\01_basic\cscl_CsCl.cif
[ 7] SKIP  萤石 -> cifs\01_basic\fluorite_CaF2.cif
[ 8] SKIP  金红石 -> cifs\01_basic\rutile_TiO2.cif
[ 9] SKIP  刚玉 -> cifs\01_basic\corundum_Al2O3.cif
[10] SKIP  β-Ga2O3 -> cifs\01_basic\betaGa2O3_Ga2O3.cif
[11] SKIP  纤锌矿ZnO -> cifs\01_basic\wurtziteZnO_ZnO.cif
[12] SKIP  闪锌矿ZnS -> cifs\01_basic\sphaleriteZnS_ZnS.cif
[13] SKIP  砷化镍 -> cifs\01_basic\nias_NiAs.cif
[14] SKIP  石英 -> cifs\01_basic\quartz_SiO2.cif
[15] SKIP  二硫化钼 -> cifs\01_basic\mos2_MoS2.cif
[16] SKIP  1T-TaS2 -> cifs\01_basic\1TTaS2_TaS2.cif
[17] SKIP  纤锌矿GaN -> cifs\01_basic\wurtziteGaN_GaN.cif
[18] SKIP  钙钛矿 -> cifs\02_oxides\perovskite_CaTiO3.cif
[19] SKIP  尖晶石 -> cifs\02_oxides\spinel_MgAl2O4.cif
[20] SKIP  Ruddlesden-Popper -> cifs\02_oxides\rp_Sr3Ti2O7.cif
[21] SKIP  Aurivillius -> cifs\02_oxides\aurivillius_SrBi2Ta2O9.cif
[22] SKIP  烧绿石 -> cifs\02_oxides\pyrochlore_La2Zr2O7.cif
[23] SKIP  三氧化铼 -> cifs\02_oxides\reo3_ReO3.cif
[24] SKIP  双钙钛矿 -> cifs\02_oxides\doubleperovskite_Sr2FeMoO6.cif
[25] SKIP  方解石 -> cifs\03_silicates\calcite_CaCO3.cif
[26] SKIP  锆石 -> cifs\03_silicates\zircon_ZrSiO4.cif
[27] SKIP  绿柱石 -> cifs\03_silicates\beryl_Be3Al2Si6O18.cif
[28] SKIP  石榴石 -> cifs\03_silicates\garnet_Ca3Al2Si3O12.cif
[29] SKIP  橄榄石 -> cifs\03_silicates\olivine_Mg2SiO4.cif
[30] SKIP  辉石 -> cifs\03_silicates\pyroxene_MgSiO3.cif
[31] SKIP  角闪石 -> cifs\03_silicates\hornblende_Ca2Mg5Si8O22OH2.cif
[32] SKIP  云母 -> cifs\03_silicates\mica_KAl2AlSi3O10OH2.cif
[33] OK    长石 -> cifs\03_silicates\feldspar_KAlSi3O8.cif
[34] OK    蒙脱石 -> cifs\03_silicates\montmorillonite_NaAl2Si4O10OH2.cif
[35] SKIP  LTA型分子筛 -> cifs\04_zeolites\LTA_zeolite.cif
[36] SKIP  FAU型分子筛 -> cifs\04_zeolites\FAU_zeolite.cif
[37] SKIP  MFI型ZSM-5 -> cifs\04_zeolites\MFI_ZSM5.cif
[38] SKIP  MOR型丝光沸石 -> cifs\04_zeolites\MOR_mordenite.cif
[39] SKIP  BEA型Beta -> cifs\04_zeolites\BEA_beta.cif
[40] SKIP  CHA型菱沸石 -> cifs\04_zeolites\CHA_chabazite.cif
[41] SKIP  MEL型ZSM-11 -> cifs\04_zeolites\MEL_ZSM11.cif
[42] SKIP  SOD型方钠石 -> cifs\04_zeolites\SOD_sodalite.cif
[43] SKIP  MOF-5 -> cifs\05_mof_cof\MOF5_Zn4OBDC3.cif
[44] SKIP  HKUST-1 -> cifs\05_mof_cof\HKUST1_Cu3BTC2.cif
[45] SKIP  ZIF-8 -> cifs\05_mof_cof\ZIF8_C8H10N4Zn.cif
[46] FAIL  COF-1 : COD无此条目,需人工补
[47] SKIP  L1₂有序合金Ni3Al -> cifs\06_intermetallics\Ni3Al_L12.cif
[48] SKIP  Laves相MgCu2 -> cifs\06_intermetallics\MgCu2_Laves.cif
[49] SKIP  Laves相MgZn2 -> cifs\06_intermetallics\MgZn2_Laves.cif
[50] SKIP  Heusler合金 -> cifs\06_intermetallics\Cu2MnAl_Heusler.cif
